,nmod,nsubj,xcomp,ccomp,advcl,iobj,mark,obj,obl,case,conj,advmod,nummod,flat,det,amod,acl,discourse,cc,dep:repeat,dislocated,cop,fixed,vocative,parataxis,csubj,ccomp:purp,acl:relcl,punct,advcl:seq,obj:po,nmod:poss,advcl:quote,advcl:conv,obj:lo,ccomp:quote,obj:ro,advcl:cond,appos,advcl:compar,advcl:purp,flat:name,ccomp:obj,csubj:quote,compound,xcomp:lo,conj:q,orphan,aux,compound:pred,nsubj:outer,xcomp:subj,obj:cs,compound:prt,csubj:outer,ccomp:iobj,ccomp:ro,obj:poss,ccomp:poss,ccomp:lo,advmod:q,nmod:quote,dep,aux:pass,nsubj:pass,det:poss,advmod:emph,list,det:adj,obl:tmod,det:pron,obl:agent,expl,det:noun,csubj:pass,compound:svc,obl:arg,advcl:cmp,advcl:relcl,cc:preconj,compound:smixut,obl:npmod,advmod:lmod,obj:agent,obl:lmod,nsubj:cop,aux:exhort,compound:lvc,nmod:npmod,compound:redup,case:loc,nsubj:caus,iobj:agent,aux:ex,aux:caus,flat:range,flat:dist,parataxis:obj,det:rel,expl:pv,goeswith,dep:comp,dislocated:obj,dep:redup,dislocated:subj,dep:conj,obl:mod,dislocated:mod,parataxis:parenth,parataxis:mod,dep:flat,nummod:gov,obl:depict,parataxis:discourse,obl:float,clf,nmod:gen,advmod:neg,flat:foreign,discourse:sp,compound:dir,clf:det,obj:periph,compound:vv,advcl:coverb,mark:rel,compound:quant,nsubj:periph,advmod:df,compound:ext,obl:patient,compound:vo,mark:adv,expl:pass,nmod:tmod,mark:prt,parataxis:rep,nmod:relat,aux:neg,acl:attr,nmod:attr,csubj:caus,flat:vv,nmod:unmarked,obl:unmarked,det:numgov,det:nummod,nmod:desc,det:predet,nmod:gobj,obl:cmp,csubj:cop,advmod:cmp,aux:aspect,compound:nn,aux:imp,xcomp:ds,obl:own,nmod:gsubj,aux:opt,cop:own,aux:tense,expl:subj,advcl:cleft,obj:lvc,expl:comp,parataxis:insert,ccomp:speech,nmod:name,obl:iobj,obl:final,nmod:iobj,nmod:pred,auxpart,obl:subj,obl:obj,case:gen,case:acc,compound:affix,mark:q,discourse:conn,nmod:det,advmod:loc,nmod:att,compound:preverb,advmod:tlocy,amod:att,advmod:mode,ccomp:obl,nmod:obl,ccomp:pred,advmod:que,advmod:to,advmod:tto,obl:lvc,advmod:locy,advmod:tfrom,amod:attlvc,nsubj:lvc,nmod:attlvc,compound:a,nmod:lmod,case:adv,xcomp:pred,obl:prep,csubj:cleft,case:voc,vocative:mention,parataxis:sentence,parataxis:rt,parataxis:hashtag,parataxis:url,expl:impers,parataxis:nsubj,parataxis:appos,discourse:emo,obj:appl,iobj:appl,flat:title,flat:num,dep:ss,dep:agr,aux:pot,advmod:deg,nmod:obj,nmod:subj,nmod:prp,obl:dat,obl:cau,advcl:abs,advmod:tmod,cop:outer,conj:expl,csubj:relcl,advcl:pred,ccomp:relcl,dislocated:nsubj,ccomp:reported,dislocated:advcl,flat:redup,csubj:reported,dislocated:csubj,parataxis:reporting,dislocated:obl,orphan:missing,dislocated:ccomp,flat:gov,xcomp:relcl,cop:emph,case:det,aux:part,cop:expl,dep:mod,obl:sentcon,dislocated:cleft,cc:nc,obl:advmod,nmod:bahuv,parataxis:conj,parataxis:dislocated,xcomp:obj,conj:redup,discourse:participant,discourse:enunc,obl:pronmod,obj:advneg,mark:advmod,nsubj:obj,obj:advmod,obj:obl,advmod:obl,nsubj:advmod,obj:infx,mark:int,nmod:pre,orphan:nsubjobj,aux:perf,aux:fut,aux:hab,nsubj:nc,amod:flat,aux:clitic,nmod:arg,nmod:flat,aux:cnd,discourse:intj,obl:cmpr,xcomp:cleft,advcl:cmpr,cop:locat,advmod:arg,ccomp:cleft,obl:orphan,nummod:flat,aux:q,acl:inf,expl:poss,ccomp:pmod,obl:pmod,advcl:tcl,nummod:entity,compound:coord,advcl:ccomp,obl:instr,nmod:appos,obl:goal,acl:dpct,obl:source,advcl:manner,obl:path,xcomp:result,advcl:dpct,obl:manner,advcl:fin,obl:benef,obl:soc,obl:grad,acl:ptcp,mark:sim,case:sim,advcl:caus,advcl:concess,acl:crel,ccomp:rel,compound:name,advcl:lcl,advcl:consec,acl:cont,acl:pred,compound:vsc,acl:cleft,nsubj:lfoc,nsubj:ifoc,iobj:patient,nsubj:bfoc,obl:inst,obl:poss,nmod:part,discourse:q,dep:der,nmod:comp,advcl:svc,advmod:det,acl:adv,flat:abs,flat:sibl,conj:svc,flat:repeat,parataxis:rel,vocative:cl,parataxis:newsent,dep:alt,nmod:cau,obl:with,det:pmod,advmod:adj,obl:comp,advcl:objective,acl:subj,compound:vmod,appos:nmod,mark:pcomp,compound:verbnoun,flat:number,obl:adj,obl:about,acl:tmod,compound:atov,xcomp:adj,compound:amod,csubj:vsubj,compound:apr,nsubj:xsubj,csubj:asubj,acl:tonp,compound:pron,advmod:dir,nsubj:nn,flat:time,xcomp:vcomp,compound:adj,flat:date,obl:adv,compound:z,nummod:det,xcomp:dir,case:pred,nmod:agent,nmod:redup,flat:frac,obl:appl,obj:caus,mark:plur,dep:infl,dep:cop,dep:aux,dep:pos,dep:emo,dep:mark,dep:ana
Abaza,0.0,0.48977901368693755,0.9709505944546686,0.9182958340544896,0.4689955935892812,0.3372900666170139,0.0,0.44506485705083865,0.4743454375622397,0.0,0.0,0.6136190195993708,0.9709505944546686,0.0,1.0,0.9456603046006401,0.9940302114769565,0.5916727785823275,0.0,0.0,0.7219280948873623,0.0,0.0,0.0,0.0,0.8112781244591328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abkhaz,0.0,0.7091064024670894,0.0,,0.5068709035983759,0.3322866302216151,0.0,0.11146303230451957,0.2244744128265546,0.0,0.0,0.3655222534898187,0.5746356978376794,0.0,0.8589810370425963,0.905200296956048,0.0,0.9612366047228759,0.0,,0.0,0.0,,0.934068055375491,0.42368057157091055,0.9567258440526691,0.5032583347756457,0.5293608652873644,0.9975094091001302,0.0,0.5435644431995964,0.131744048041152,0.42080948947668984,0.3570809433626917,0.1994207780375109,0.2778395739583094,0.39124356362925566,0.4798320236161285,0.0,0.7973265101474423,0.41381685030363374,0.0,0.409855370318405,0.0,0.0,0.0,0.0,0.9182958340544896,0.0,0.0,0.0,0.8112781244591328,0.0,0.0,0.8112781244591328,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaans,0.445416750988863,0.1908961936336881,0.5387379148665815,0.2147512900706242,,0.9948131754904235,0.4443675872026982,0.7648455693203435,0.9995589363544601,0.18105411034179347,0.0,0.845146994609017,0.09947705087439423,0.0,0.006236215982504536,0.8585483184252349,,,0.35349368991273733,,,0.9999983389837518,0.0,,,1.0,,,0.3692905781142189,,,,,,,,,,0.0,,,,,,,,,,0.7677696063457145,,,,,0.9509560484549725,,,,,,,,,0.7027579644563596,0.6540800387941991,0.02088603918363072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkadian,0.05345168152257693,0.17105730842261752,0.7153220528038851,0.7062740891876007,0.5851569902762294,0.9709505944546686,0.0,0.5259645620448004,0.28537076362522007,0.00762519570511752,0.0,0.3667967106680413,0.5467949413660596,0.0,0.2530679372656292,0.23712789761286754,0.4394969869215134,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.017398282220503283,,,,,,,0.0,,,,,,0.863120568566631,,,,,,,,,,,,,,,,,,0.9318527515588215,,,0.0,0.046999447831427066,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akuntsu,0.5746356978376794,0.6962122601251458,0.0,1.0,0.0,0.0,,0.32984607020714635,0.9865446300055644,0.5665095065529053,0.0,0.9447388286467892,0.863120568566631,,0.9910760598382222,0.9182958340544896,,0.8512243352621378,,,1.0,,,,0.25253077151613923,,,,0.16866093149667025,,,,,,,,,,0.0,,,,,,,,,,0.3227569588973982,,,,,,,,,,,,,,0.9709505944546686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,0.205592508185083,0.7921467122770802,0.24229218908241482,0.12068101401352381,0.863120568566631,0.4995844074236609,0.0,0.9739682666277407,0.7065744832981399,0.0,0.0,0.8788808284195857,0.28639695711595625,0.0,0.13640409431087364,0.1936428046838986,0.0,1.0,0.14144054254182067,,,0.5869185834047994,0.0,,0.3095434291503252,0.0,,0.0,0.7099852858407862,,,0.06812462580532022,,,,,,,0.0,,,,,,0.863120568566631,,,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,0.600608575413187,,,0.0,0.8453509366224364,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alemannic,0.362051251733998,0.3227569588973982,0.0,0.4262286569981449,0.8112781244591328,0.4394969869215134,0.16866093149667025,0.6098403047164004,0.7072324944713735,0.10928571467638522,0.0,0.6434216688864768,0.0,0.0,0.0,0.2580186686648155,0.0,,0.0,,,0.9990102708804813,0.0,,0.0,0.0,,0.0,0.570541142852226,,,0.0,,,,,,,0.0,,,,,,0.0,,,,0.6267511370265895,,,,,0.6500224216483541,,,,,,,,,0.0,0.8112781244591328,0.5916727785823275,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amharic,0.8518801100756657,0.9945270656175942,0.11124104948299228,0.3984592740952357,0.23405456645586997,0.9575534837147482,0.5952606122492284,0.5521217801842137,0.21001546451653996,0.9970417071570099,0.0,0.2674650944699058,0.0,0.0,0.6137775566906948,0.3411538931451762,0.3227569588973982,0.5208888527768221,0.4951734787020682,,,0.08146202691506,0.0,,0.863120568566631,0.17203694935311378,,,0.0,,,,,,,,,,,,,,,,0.2623112196143366,,,,0.3333262678404293,,,,,,,,,,,,,,0.0,,0.854864096781804,,,,,,,,0.6297005697466874,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Greek,0.990702374328668,0.9149025135560247,0.9281914820766144,0.4160436392910766,0.9885133815439195,0.9923233163280798,0.07915806075187327,0.9998736723037269,0.9833418087773391,0.18075100735328276,0.0,0.7284052294094046,0.8914646586908606,,0.5062367513852684,0.9966987378104686,0.5732805420244971,0.7131232724365315,0.879819921551322,,0.7555555240473898,0.995880963560206,0.0,0.8951647057662557,0.5907323549468708,0.7649134648957698,,0.02232050347833445,0.9465376966967649,,,0.13581220240295788,,,,,,,0.0,,,0.0,,,0.0,,,0.9440870182837794,0.9666186325481028,,0.3591016256485496,,,,,,,,,,,,0.8112781244591328,0.9649567669505685,0.9950455035372331,,,,,0.8071675554288904,,0.901049630018282,,,0.30337483608641397,,0.9310403273043284,0.6548373043869131,0.16866093149667025,0.7024665512903903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ancient Hebrew,0.05047688778526495,0.9211837348196843,0.48286690029782514,0.07613169094711818,0.7095926440149468,,0.00524675147290969,0.4836753670981451,0.4509070890582502,0.0,0.0,0.7268303666885771,0.8687212463394045,0.0,0.24568406336063495,0.09263262928012517,0.0,0.7654815082817802,0.0028888746507762793,,0.6331913481952375,0.6613464704183092,0.0,0.9675594819018212,0.027352472682422347,0.999443333090299,,0.0,0.7132865694068133,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.37723824138843015,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.16334554318340233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
